Prime,Second Difference,Second Ratio
9267377,24,2/3
9267407,52,13/28
9267489,-38,-19/63
9267533,146,73/117
9267723,-134,-67/123
9267779,64,4/11
9267899,-30,-1/7
9267989,-72,-2/3
9268007,132,11/14
9268157,144,12/37
9268451,-252,-3/4
9268493,-36,-3/4
9268499,16,4/7
9268521,154,7/9
9268697,-154,-7/9
9268719,10,5/27
9268751,230,115/147
9269013,-238,-119/143
9269037,0,0
9269061,24,1/3
9269109,162,27/43
9269319,-162,-27/43
9269367,38,19/67
9269453,-32,-8/35
9269507,-14,-7/47
9269547,212,53/73
9269799,-210,-5/7
9269841,-4,-1/20
9269879,-20,-5/14
9269897,-2,-1/17
9269913,332,83/91
9270261,-340,-85/89
9270269,64,4/5
9270341,-26,-13/59
9270387,-22,-11/35
9270411,8,1/7
9270443,104,13/21
9270579,64,4/21
9270779,-182,-91/109
9270797,162,9/11
9270977,-110,-11/25
9271047,-50,-5/9
9271067,194,97/117
9271281,-134,-67/147
9271361,22,11/91
9271463,162,27/61
9271727,-200,-25/41
9271791,-58,-29/35
9271797,6,1/3
9271809,-4,-1/5
9271817,146,73/81
9271971,-142,-71/83
9271983,26,13/25
9272021,-10,-5/33
9272049,64,8/15
9272141,56,7/30
9272289,-88,-11/26
9272349,-40,-1/2
9272369,-16,-2/3
9272373,52,13/15
9272429,26,13/69
9272511,-62,-31/51
9272531,226,113/133
9272777,-240,-20/21
9272783,22,11/17
9272811,148,37/51
9272987,8,1/45
9273171,-158,-79/105
9273197,-20,-5/8
9273203,0,0
9273209,54,9/11
9273269,0,0
9273329,-50,-5/7
9273339,92,23/28
9273441,-36,-3/14
9273507,-34,-17/49
9273539,22,11/43
9273593,-8,-2/25
9273639,44,11/34
9273729,-72,-2/3
9273747,78,13/19
9273843,-82,-41/55
9273857,32,8/15
9273903,-2,-1/45
9273947,-4,-1/21
9273987,236,59/79
9274263,-196,-49/89
9274343,-4,-1/39
9274419,-64,-8/11
9274431,54,9/13
9274497,-24,-2/9
9274539,92,23/44
9274673,-106,-53/81
9274701,80,10/17
9274809,-90,-5/7
9274827,102,17/23
9274947,56,7/37
9275123,-142,-71/105
9275157,122,61/95
9275313,-132,-11/15
9275337,92,23/35
9275453,-68,-17/41
9275501,-12,-1/7
9275537,54,3/7
9275627,-6,-1/29
9275711,286,143/227
9276081,-320,-16/21
9276131,38,19/69
9276219,-86,-43/45
9276221,104,26/27
9276327,-74,-37/69
9276359,-28,-7/9
9276363,2,1/5
9276369,18,3/5
9276393,2,1/25
9276419,218,109/135
9276663,-230,-115/129
9276677,-8,-2/5
9276683,0,0
9276689,6,1/3
9276701,94,47/59
9276807,-22,-11/95
9276891,-78,-13/15
9276897,120,10/11
9277023,8,2/65
9277157,-124,-31/36
9277167,182,91/101
9277359,-108,-9/23
9277443,-30,-5/23
9277497,-42,-7/11
9277509,176,22/25
9277697,-68,-17/77
9277817,-50,-5/19
9277887,-34,-17/53
9277923,-28,-7/11
9277931,32,2/3
9277971,92,23/43
9278103,-94,-47/85
9278141,34,17/55
9278213,94,47/119
9278379,-152,-38/45
9278393,26,13/27
9278433,10,1/9
9278483,4,1/26
9278537,18,1/7
9278609,-32,-2/7
9278649,4,1/21
9278693,-38,-19/25
9278699,166,83/89
9278871,-142,-71/101
9278901,18,3/13
9278949,-46,-23/25
9278951,128,32/33
9279081,-80,-4/9
9279131,-4,-1/24
9279177,14,7/53
9279237,186,31/51
9279483,-186,-31/51
9279543,0,0
9279603,-12,-1/9
9279651,218,109/157
9279917,-254,-127/139
9279929,300,25/27
9280241,-96,-2/11
9280457,-212,-53/55
9280461,142,71/75
9280607,-142,-71/75
9280611,4,1/3
9280619,32,2/3
9280659,10,1/9
9280709,4,1/26
9280763,-30,-5/13
9280787,60,5/9
9280871,-36,-3/11
9280919,40,5/17
9281007,-46,-23/65
9281049,-24,-2/5
9281067,36,1/2
9281121,-46,-23/31
9281129,32,2/3
9281169,-28,-7/13
9281181,-10,-5/7
9281183,26,13/15
9281211,34,17/45
9281273,58,29/91
9281393,118,59/179
9281631,-32,-8/111
9281837,-160,-40/63
9281883,20,5/28
9281949,-46,-23/43
9281969,284,71/81
9282273,-154,-77/227
9282423,-10,-1/29
9282563,-134,-67/73
9282569,114,19/21
9282689,4,1/61
9282813,-94,-47/77
9282843,30,1/3
9282903,-24,-1/4
9282939,54,3/7
9283029,-36,-1/4
9283083,-16,-4/23
9283121,34,17/55
9283193,6,1/25
9283271,-42,-7/19
9283307,66,11/23
9283409,-18,-3/31
9283493,-20,-5/37
9283557,-44,-11/21
9283577,140,7/9
9283737,-124,-31/49
9283773,2,1/37
9283811,14,7/45
9283863,22,11/63
9283937,-44,-11/26
9283967,84,7/12
9284081,34,17/131
9284229,-146,-73/75
9284231,140,35/36
9284373,-104,-26/45
9284411,-2,-1/37
9284447,18,1/5
9284501,46,23/77
9284601,-10,-1/19
9284691,-34,-17/73
9284747,-52,-13/15
9284751,32,4/5
9284787,-34,-17/19
9284789,26,13/15
9284817,46,23/51
9284891,-62,-31/43
9284903,124,31/37
9285039,-122,-61/75
9285053,4,1/8
9285071,10,5/23
9285099,16,2/9
9285143,-14,-7/37
9285173,10,1/7
9285213,-16,-1/4
9285237,102,17/25
9285363,-108,-3/4
9285381,74,37/55
9285473,-58,-29/63
9285507,22,11/45
9285563,58,29/85
9285677,-90,-15/23
9285701,24,1/3
9285749,70,35/83
9285867,-68,-17/42
9285917,-46,-23/27
9285921,38,19/23
9285963,62,31/73
9286067,-58,-29/75
9286113,14,7/53
9286173,-36,-3/7
9286197,32,2/5
9286253,-28,-1/3
9286281,20,5/19
9286329,-16,-1/5
9286361,148,37/53
9286541,-78,-13/47
9286643,-72,-6/11
9286673,-2,-1/29
9286701,64,8/15
9286793,-38,-19/73
9286847,-48,-4/5
9286853,174,29/31
9287033,-162,-9/11
9287051,-6,-1/5
9287063,42,7/11
9287117,30,5/23
9287201,126,3/7
9287411,-62,-31/179
9287559,-106,-53/95
9287601,140,5/8
9287783,-136,-34/57
9287829,112,28/51
9287987,-116,-29/50
9288029,-12,-1/6
9288059,18,3/13
9288107,-2,-1/47
9288153,-32,-8/15
9288167,68,17/24
9288249,166,83/165
9288497,-238,-119/129
9288507,10,1/3
9288527,40,1/2
9288587,-38,-19/41
9288609,16,4/15
9288647,-28,-7/12
9288657,34,17/27
9288701,62,31/75
9288807,-94,-47/59
9288819,36,3/5
9288867,-6,-1/15
9288909,36,3/10
9288987,-64,-16/23
9289001,122,61/75
9289137,-104,-13/21
9289169,-22,-11/21
9289179,50,5/7
9289239,-58,-29/31
9289241,14,7/9
9289257,10,5/21
9289283,-8,-2/11
9289301,52,13/22
